U;I_m;R
2.36;100.9;1.2723417471856562
2.25;96.53;2.776344654911345
2.12;91.7;4.592083278315896
1.99;86.35;6.8446461134886185
1.84;80.15;9.742953043153458
1.66;72.86;13.669297307951128
1.46;64.43;19.422744406493344
1.21;53.75;29.074258684167972
0.87;39.07;50.86016399024751
0.28;12.92;211.6941243691077
