U;I_m;R
2.29;107.15;1.1649370757541402
2;94.94;2.5419796455881967
1.8;85.98;4.204442774666126
1.59;76.96;6.266855619299187
1.39;67.63;8.920502099696447
1.18;57.94;12.515404189763624
0.97;47.86;17.78317430994339
0.75;37.03;26.619956443441215
0.49;24.46;46.56680553179205
0.14;6.97;193.82397437038355
