U;I_m;R
2.34;104.5;1.2201155483893147
2.23;100.14;2.6623831911809543
2.11;95.04;4.403590638886934
1.97;89.31;6.563691842040429
1.82;83.15;9.343031085377042
1.65;75.71;13.108209502579303
1.45;66.96;18.625493107628248
1.2;55.91;27.88083874235257
0.86;40.68;48.77249136514924
0.28;13.46;203.0046512399161
