U;I_m;R
2.4;94.39;1.3806417430093971
2.28;90.26;3.012663328881799
2.15;85.51;4.982955149779621
2.02;80.41;7.427253064133334
1.86;74.44;10.572259930409478
1.69;67.8;14.832809268978188
1.48;59.71;21.075981944883956
1.22;49.77;31.54901996669178
0.88;36.13;55.189311846884536
0.29;11.91;229.71323978035386
