U;I_m;R
2.38;97.7;1.3260850442035537
2.27;93.26;2.8936165401913785
2.14;88.49;4.786051365980509
2;83.27;7.133761714602304
1.85;77.1;10.154492175927997
1.67;70.15;14.246683931373749
1.47;62.03;20.243154743456508
1.22;51.72;30.302345810519594
0.88;37.53;53.008480592884304
0.28;12.4;220.6360145712317
